"","Name","Clade","stopFree","CPC2","LGC","CPPred","RNAcode","PhyloCSF","tcode","RNAsamba","bioseq2seq","randScore","PLEK"
"47","NC_054857.1_2222971_2223174","fungiGroup",252,0.0808505,-1.202,0.470452,109.379,265.5547,1.094,0.95335,0.0083,34,-1.88269
"48","NC_054857.1_2244922_2245035","fungiGroup",219,0.0411547,-1.53,0.765104,38.527,22.0908,0.965,0.77482,0.1497,85,-2.24641
"49","NC_054857.1_2269076_2268796","fungiGroup",303,0.0369647,-1.238,0.158954,116.704,449.8935,1.258,0.79707,0.0078,9,-1.86247
"50","NC_054857.1_2320940_2319965","fungiGroup",972,0.999987,1.058,0.993295,530.701,1867.5487,1.265,0.98593,0.9987,26,-0.19882
"51","NC_054857.1_2375710_2375627","fungiGroup",153,0.091304,-0.55,0.177899,11.2,-29.5997,0.959,0.63922,0.0915,61,-2.11432
"52","NC_054857.1_2392940_2393201","fungiGroup",315,0.388234,-1.176,0.642663,72.467,94.4188,1.281,0.99411,0.9991,68,-1.39325
"53","NC_054857.1_2447596_2447715","fungiGroup",195,0.139089,-0.688,0.00481107,19.422,-61.2847,1.081,0.48689,0.1013,27,-1.97924
"54","NC_054857.1_2449753_2449624","fungiGroup",255,0.25634,-1.501,0.449287,46.294,63.2094,1.256,0.95497,0.1146,60,-1.86956
"55","NC_054857.1_2465745_2465859","fungiGroup",249,0.169668,-0.993,0.348572,29.506,-24.2347,1.039,0.82666,0.2172,16,-1.98738
"56","NC_054857.1_2477444_2478015","fungiGroup",648,0.990339,-0.089,0.97728,38.435,-215.1646,1.232,0.96885,0.9993,57,-1.11446
"57","NC_054857.1_2501116_2501200","fungiGroup",234,0.166361,-0.601,0.350308,35.964,-70.4086,0.74,0.69684,0.0012,5,-2.3521
"58","NC_054857.1_2524069_2523884","fungiGroup",336,0.13049,-0.458,0.466766,83.215,367.0681,1.305,0.97701,0.8567,12,-1.25292
"59","NC_054857.1_257343_257678","fungiGroup",483,0.183653,-1.472,0.700497,50.937,-74.2535,1.151,0.90345,0.3459,5,-0.216326
"60","NC_054857.1_2612020_2612311","fungiGroup",348,0.314549,-1.248,0.94385,134.15,298.4917,1.311,0.87394,0.0769,55,-1.51872
"61","NC_054857.1_265610_265754","fungiGroup",249,0.118315,-0.845,0.518731,36.36,-7.9756,1.315,0.93053,0.9712,1,-1.92615
"62","NC_054857.1_2657425_2657556","fungiGroup",252,0.00924193,-0.733,0.0137275,29.769,-18.9781,1.17,0.77204,7e-04,12,-2.05473
"63","NC_054857.1_2690148_2690235","fungiGroup",234,0.0677038,-1.017,0.00313051,20.142,-58.8119,0.915,0.58073,0.0019,8,-1.99363
"64","NC_054857.1_2740932_2740379","fungiGroup",704,0.350975,-0.746,0.968508,189.609,1045.9765,1.318,0.98966,0.9987,70,-0.581388
"65","NC_054857.1_2755132_2755285","fungiGroup",270,0.166408,-1.372,0.898418,11.694,-42.7741,1.269,0.96352,0.3738,8,-2.04525
"66","NC_054857.1_2811608_2811495","fungiGroup",186,0.0626636,-0.379,0.523777,55.172,77.619,1.125,0.92418,0.009,13,-2.26218
"67","NC_054857.1_2836467_2836184","fungiGroup",342,0.0588964,-1.207,0.215501,122.8,83.3698,1.03,0.82499,0.0178,61,-1.61719
"68","NC_054857.1_2859032_2859166","fungiGroup",201,0.0186246,-1.143,0.000444248,24.625,-107.1206,0.914,0.57555,0.0259,42,-1.97464
"69","NC_054857.1_2861532_2861647","fungiGroup",186,0.058336,-0.342,0.384012,48.811,100.3525,1.021,0.81124,0.5572,93,-1.90541
"70","NC_054857.1_2865502_2865359","fungiGroup",276,0.181997,-1.165,0.0289462,52.282,-24.3347,0.959,0.5879,0.0038,39,-1.98914
"71","NC_054857.1_2918407_2917708","fungiGroup",723,0.646981,-0.527,0.750444,222.527,517.6307,1.288,0.9942,0.1995,28,-0.177956
"72","NC_054857.1_2937335_2937884","fungiGroup",558,0.11987,-1.269,0.0117276,267.929,1092.8059,1.315,0.86743,0.9423,96,-1.3296
"73","NC_054857.1_300743_300841","fungiGroup",189,0.0237479,-0.447,0.817578,37.801,21.1987,0.985,0.15656,5e-04,81,-2.30607
"74","NC_054857.1_3007976_3008075","fungiGroup",207,0.00800974,-0.494,0.0574716,27.888,-21.2131,0.724,0.81422,0.002,38,-2.21761
"75","NC_054857.1_3036899_3037192","fungiGroup",348,0.181133,0.682,0.238879,20.144,-69.9329,1.186,0.92864,0.0134,33,-1.29979
"76","NC_054857.1_3048801_3049872","fungiGroup",348,0.565022,-0.614,0.446086,253.778,178.9336,1.354,0.9853,0.999,43,0.045649
"77","NC_054857.1_3049946_3050390","fungiGroup",489,0.575663,-0.876,0.464712,118.042,17.3498,1.338,0.94362,0.2326,48,-1.1223
"78","NC_054857.1_3059363_3058421","fungiGroup",951,1,0.447,0.985568,134.61,228.3947,1.322,0.9955,0.9997,6,-0.304994
"79","NC_054857.1_3062689_3062778","fungiGroup",237,0.00969044,0,0.0205245,24.2,-77.76,1.064,0.42354,0.0011,10,-2.21251
"80","NC_054857.1_3064239_3064836","fungiGroup",603,0.996185,-0.419,0.920539,162.88,637.1652,1.315,0.98212,0.9997,41,-1.16782
"81","NC_054857.1_3109846_3109756","fungiGroup",144,0.0179477,-0.538,0.0217796,27.884,-12.6699,0.847,0.63609,0.1784,80,-2.34334
"82","NC_054857.1_3144646_3144796","fungiGroup",301,0.1744,0,0.130303,41.069,-47.3043,1.005,0.2051,0.9286,12,-2.0372
"83","NC_054857.1_3168567_3169234","fungiGroup",723,0.262303,-1.55,0.0458848,313.906,598.1769,1.287,0.87447,0.8257,30,-1.23779
"84","NC_054857.1_3173585_3173426","fungiGroup",228,0.0917023,0.916,0.621685,19.373,-81.5824,1.295,0.89891,0.0104,68,-1.97914
"85","NC_054857.1_3183845_3183685","fungiGroup",282,0.0774058,-0.832,0.138491,48.626,13.3047,1.175,0.92926,0.0176,56,-1.62657
"86","NC_054857.1_3184942_3183896","fungiGroup",1080,1,1.768,0.999392,458.547,1413.1057,1.352,0.99976,0.9997,85,-0.781443
"87","NC_054857.1_3186707_3186829","fungiGroup",237,0.0590284,0,0.0124843,31.615,-109.2349,0.998,0.07021,0.0343,39,-2.1303
"88","NC_054857.1_3187234_3187441","fungiGroup",219,0.0086652,-1.838,0.00176917,72.012,3.966,1.238,0.26064,6e-04,84,-2.13576
"89","NC_054857.1_3200545_3199521","fungiGroup",1041,0.999996,0.705,0.958414,555.435,2581.2881,1.339,0.99037,0.9994,60,-1.0037
"90","NC_054857.1_3200934_3200848","fungiGroup",234,0.0330014,-0.818,0.000109208,28.583,-80.826,0.868,0.25051,0.0215,100,-2.10361
"91","NC_054857.1_3207758_3208188","fungiGroup",516,0.174868,-1.339,0.13739,186.744,483.8676,1.054,0.97233,0.9992,41,-1.0246
"92","NC_054857.1_321425_321084","fungiGroup",441,0.74875,-0.753,0.964314,136.271,157.8684,1.311,0.9912,0.9909,22,-1.02091
"93","NC_054857.1_3358793_3359131","fungiGroup",387,0.272402,-0.806,0.649536,131.175,-16.0741,1.116,0.93831,0.9982,58,-1.68334
"94","NC_054857.1_337509_337414","fungiGroup",237,0.122922,-0.681,0.0766279,38.041,-47.4714,0.913,0.26142,0.0089,68,-2.22054
"95","NC_054857.1_3393766_3393585","fungiGroup",273,0.247267,-1.323,0.510963,48.027,226.5313,1.339,0.98457,0.8182,13,-1.98908
"96","NC_054857.1_343165_342220","fungiGroup",957,0.999999,0.859,0.997857,439.938,1391.0353,1.199,0.99778,0.9994,69,-0.01108
"97","NC_054857.1_3510109_3510324","fungiGroup",357,0.363845,-0.778,0.855073,84.494,64.4344,1.257,0.83347,0.0301,1,-1.71812
"98","NC_054857.1_3515361_3516134","fungiGroup",840,0.997112,0.289,0.960698,103.616,-539.4035,1.223,0.97636,0.4652,9,-1.0283
"99","NC_054857.1_3516213_3516739","fungiGroup",597,0.989964,-0.529,0.994191,234.043,712.6187,1.296,0.99555,0.9986,98,-1.03166
"100","NC_054857.1_3530158_3530610","fungiGroup",471,0.962651,-0.208,0.76051,137.737,114.019,1.192,0.94791,0.9995,55,-1.22682
"101","NC_054857.1_3538424_3537660","fungiGroup",780,0.999568,0.552,0.972888,373.743,1438.1038,1.255,0.99056,0.9967,38,-0.802341
"102","NC_054857.1_357236_356738","fungiGroup",537,0.5,-1.142,0.515882,202.807,403.6675,1.325,0.98734,0.0872,43,-0.846277
"103","NC_054857.1_362096_362227","fungiGroup",264,0.0282929,-0.474,0.135413,46.884,32.3099,1.26,0.8746,0.0028,57,-1.93627
"104","NC_054857.1_3633614_3633708","fungiGroup",222,0.0172996,-1.777,0.0994086,0,0.0118,1.04,0.69422,0.0087,26,-2.11623
"105","NC_054857.1_3634262_3634526","fungiGroup",267,0.253637,-1.145,0.282138,77.678,-41.8953,0.99,0.95331,0.0015,24,-1.58728
"106","NC_054857.1_3643026_3643203","fungiGroup",246,0.0989442,-1.27,0.114292,79.196,-57.5975,1.309,0.78432,0.0071,93,-2.07159
"107","NC_054857.1_3663703_3663228","fungiGroup",624,0.239627,-1.544,0.987366,0,0.0224,1.253,0.99691,0.9969,67,-1.37204
"108","NC_054857.1_3682868_3682685","fungiGroup",261,0.0588562,-0.678,0.166192,38.143,9.9564,1.077,0.88876,0.0015,7,-2.09924
"109","NC_054857.1_3686796_3686877","fungiGroup",207,0.0383641,-1.555,0.188989,11.613,-7.6907,1.144,0.82057,3e-04,73,-1.99181
"110","NC_054857.1_3687631_3687823","fungiGroup",207,0.0735557,-0.702,0.644015,38.263,-8.4898,1.056,0.86259,0.0018,29,-2.06253
"111","NC_054857.1_369274_370051","fungiGroup",849,0.999988,0.173,0.935608,137.643,-84.3219,1.342,0.99105,0.9994,55,-0.210823
"112","NC_054857.1_3736552_3735778","fungiGroup",837,0.999986,0.105,0.986898,230.149,278.9098,1.333,0.99922,0.9997,35,-0.035004
"113","NC_054857.1_3744725_3744227","fungiGroup",516,0.346107,-1.038,0.589415,161.649,219.0282,1.298,0.81182,0.0478,69,-1.33985
"114","NC_054857.1_3810006_3809312","fungiGroup",750,0.999977,0.276,0.996597,288.538,810.311,1.338,0.9994,0.9988,97,-1.06664
"115","NC_054857.1_3877031_3876739","fungiGroup",372,0.717444,-0.861,0.79559,118.949,178.2153,1.297,0.98332,0.9995,61,-1.27581
"116","NC_054857.1_3890261_3889942","fungiGroup",411,0.916405,-0.994,0.96798,27.074,-175.7233,1.151,0.88785,0.9675,78,-2.19904
"117","NC_054857.1_3936117_3935836","fungiGroup",378,0.921936,0.541,0.725006,44.999,62.8183,1.366,0.98263,0.9997,80,-1.59882
"118","NC_054857.1_3980768_3980505","fungiGroup",411,0.0690919,-0.569,0.0970773,99.899,282.2251,1.341,0.98878,0.9989,92,-1.05842
"119","NC_054857.1_3998622_3998170","fungiGroup",528,0.986379,-0.233,0.997419,134.373,416.0892,1.27,0.99907,0.9994,79,-0.169251
"120","NC_054857.1_4073983_4074924","fungiGroup",960,0.667456,0.091,0.544541,211.626,158.137,1.316,0.91281,0.0474,83,-0.979477
"121","NC_054857.1_4139011_4138159","fungiGroup",849,0.995553,-0.015,0.987643,110.111,11.1554,1.278,0.99226,0.9957,64,-1.20411
"122","NC_054857.1_4161071_4160641","fungiGroup",435,0.934617,-0.725,0.945191,192.935,951.8966,1.354,0.99684,0.9996,78,-0.486724
"123","NC_054857.1_4236709_4237256","fungiGroup",615,0.999554,-0.415,0.691044,104.565,-276.214,1.36,0.99476,0.9998,11,-1.01895
"124","NC_054857.1_4279450_4279178","fungiGroup",237,0.0591299,-0.755,0.763271,53.613,45.5039,1.005,0.99356,0.9983,44,-1.45094
"125","NC_054857.1_4287962_4288306","fungiGroup",441,0.0977054,-0.892,0.102706,74.275,-23.2222,1.245,0.85087,0.0486,32,-1.30737
"126","NC_054857.1_4288723_4289298","fungiGroup",651,0.990626,0.241,0.922186,48.892,-2.2029,1.324,0.97585,0.999,86,-0.743891
"127","NC_054857.1_4355118_4354798","fungiGroup",384,0.663672,-0.93,0.937743,129.454,234.9298,1.339,0.98794,0.9949,3,-1.65392
"128","NC_054857.1_4378005_4378125","fungiGroup",132,0.00724915,-1.014,0.00916418,44.081,57.927,0.793,0.65142,3e-04,69,-2.22393
"129","NC_054857.1_4408949_4407954","fungiGroup",1008,0.999998,1.854,0.985403,503.534,1594.8499,1.339,0.99942,0.9997,99,0.162619
"130","NC_054857.1_4449291_4449501","fungiGroup",228,0.1384,-0.193,0.222655,78.426,35.2242,1.064,0.89175,0.0014,31,-1.96624
"131","NC_054857.1_4464390_4464718","fungiGroup",393,0.642742,-0.986,0.800288,161.674,317.1555,1.125,0.93474,0.4101,91,-1.96642
"132","NC_054857.1_4503113_4504056","fungiGroup",1062,0.999996,1.327,0.996213,301.806,1050.2747,1.304,0.99715,0.9993,56,-1.64199
"133","NC_054857.1_4564230_4563943","fungiGroup",321,0.189164,0,0.225247,23.044,-67.6589,1.047,0.5672,0.1311,93,-1.66364
"134","NC_054857.1_4572606_4573371","fungiGroup",783,0.999526,0.713,0.969897,422.424,1315.5379,1.176,0.99302,0.9993,6,-1.01928
"135","NC_054857.1_4574555_4574641","fungiGroup",159,0.0539751,-1.213,0.0964409,26.021,-37.3517,0.962,0.92396,0.0034,95,-2.08074
"136","NC_054857.1_462130_462661","fungiGroup",682,0.251789,-0.608,0.67801,0,0.0233,1.308,0.99925,0.9988,39,-0.021897
"137","NC_054857.1_4648826_4649024","fungiGroup",267,0.0915176,-1.521,0.68333,140.447,348.5075,1.022,0.6621,0.0877,41,-2.22536
"138","NC_054857.1_4660499_4661403","fungiGroup",939,0.999999,0.597,0.98697,378.227,1548.3383,1.339,0.99959,0.9998,45,-0.251711
"139","NC_054857.1_4661454_4662560","fungiGroup",1116,1,1.76,0.997948,489.198,2163.1436,1.337,0.994,0.9997,8,-0.945643
"140","NC_054857.1_4721987_4721886","fungiGroup",168,0.0374357,-0.647,0.194053,37.034,-27.5503,1.28,0.7231,0.1232,52,-2.10153
"141","NC_054857.1_4728037_4728378","fungiGroup",372,0.5,0.309,0.719613,75.762,57.3003,1.209,0.99622,0.9995,40,-1.46849
"142","NC_054857.1_4784210_4785131","fungiGroup",933,0.999999,1.219,0.999097,391.035,1892.2096,1.339,0.99954,0.9996,3,0.76989
"143","NC_054857.1_4814665_4814539","fungiGroup",186,0.100258,-1.409,0.640548,23.109,-19.5834,1.283,0.95469,0.0957,50,-2.1832
"144","NC_054857.1_4820435_4820281","fungiGroup",267,0.117097,-0.272,0.902959,15.468,-68.7965,1.313,0.96932,0.9801,50,-2.17381
"145","NC_054857.1_4822234_4823003","fungiGroup",813,0.921934,-0.482,0.205923,196.705,-47.991,1.184,0.74593,0.4886,23,-0.856535
"146","NC_054857.1_4824284_4824124","fungiGroup",207,0.0513681,-1.71,0.0279215,50.147,58.0986,1.13,0.87637,0.0054,2,-1.81532
"147","NC_054857.1_4863615_4863471","fungiGroup",192,0.0310956,-1.117,0.0107351,82.424,374.9916,0.875,0.10672,0.0141,29,-2.17239
"148","NC_054857.1_4877398_4877068","fungiGroup",444,0.88381,0.362,0.927804,157.433,543.706,1.372,0.96183,0.9986,65,-1.4854
"149","NC_054857.1_4899003_4898691","fungiGroup",462,0.137952,-1.713,0.93547,142.199,416.0393,1.265,0.97101,0.9976,96,-1.80251
"150","NC_054857.1_4927418_4927893","fungiGroup",582,0.211906,-0.883,0.444434,249.422,708.7433,1.157,0.99241,0.9979,73,-0.620822
"151","NC_054857.1_4960162_4960354","fungiGroup",243,0.235437,-1.177,0.866112,59.319,-55.9732,1.247,0.94926,0.3703,4,-1.87623
"152","NC_054857.1_4973363_4974119","fungiGroup",753,0.986573,-0.495,0.823955,226.436,352.6422,1.275,0.99385,0.9435,39,-1.41118
"153","NC_054857.1_4999063_4999162","fungiGroup",246,0.0320011,-0.475,0.0658727,38.017,-29.4474,0.864,0.95933,0.9363,83,-1.92662
"154","NC_054857.1_5048382_5047281","fungiGroup",1137,0.999999,1.252,0.997056,495.394,1514.0774,1.242,0.9983,0.9993,24,-0.393612
"155","NC_054857.1_5140064_5139491","fungiGroup",645,0.977616,-0.789,0.90667,255.978,639.4408,1.235,0.99737,0.9864,88,-1.60133
"156","NC_054857.1_515639_516220","fungiGroup",624,0.999666,-0.04,0.992852,406.924,504.9846,1.242,0.97513,0.9995,15,-1.10324
"157","NC_054857.1_5163319_5163220","fungiGroup",198,0.00622913,-0.992,0.00307887,27.214,-56.0892,0.966,0.07504,0.0016,81,-2.16619
"158","NC_054857.1_517081_516765","fungiGroup",351,0.632417,-1.012,0.796604,169.77,334.043,1.333,0.98737,0.981,74,-1.78277
"159","NC_054857.1_5205587_5205089","fungiGroup",642,0.203872,-1.189,0.851101,86.859,21.2392,1.284,0.87557,0.9841,96,-1.22685
"160","NC_054857.1_529183_528133","fungiGroup",1071,1,1.299,0.998416,428.755,1045.0749,1.302,0.99636,0.9996,100,-0.160247
"161","NC_054857.1_5410025_5410727","fungiGroup",399,0.398455,-0.728,0.497112,237.463,616.9408,1.277,0.98929,0.9978,19,-0.605085
"162","NC_054857.1_5424740_5425248","fungiGroup",519,0.233069,-1.112,0.698039,242.882,841.2598,1.337,0.98735,0.9786,24,-1.01748
"163","NC_054857.1_5465244_5465328","fungiGroup",180,0.0195899,0,0.235065,20.402,-62.3756,1.19,0.76913,5e-04,75,-2.24218
"164","NC_054857.1_547021_547138","fungiGroup",156,0.0268246,-1.312,0.0778661,29.691,7.4102,1.037,0.76114,0.0018,2,-2.3161
"165","NC_054857.1_5487300_5486956","fungiGroup",435,0.511016,-0.914,0.914865,140.515,268.8486,1.32,0.9937,0.9995,6,-0.992452
"166","NC_054857.1_5498959_5499218","fungiGroup",410,0.0548312,-0.324,0.234109,46.037,0.545,1.159,0.86784,0.9202,44,-1.82284
"167","NC_054857.1_5530778_5530910","fungiGroup",273,0.0406381,-1.09,0.259611,38.152,-21.6097,0.837,0.33388,0.0021,9,-1.99003
"168","NC_054857.1_5531251_5531335","fungiGroup",159,0.00983078,0,0.0378094,22.787,-47.5777,0.605,0.26654,1e-04,67,-2.30549
"169","NC_054857.1_5544445_5544285","fungiGroup",240,0.0661972,-0.293,0.496973,50.075,-7.4478,1.036,0.66851,0.0048,23,-1.79093
"170","NC_054857.1_5549034_5549135","fungiGroup",186,0.089196,0.543,0.714705,33.967,48.9482,1.025,0.77098,0.566,42,-2.04422
"171","NC_054857.1_5590938_5591733","fungiGroup",795,0.999898,0.139,0.994791,302.417,886.6151,1.318,0.99804,0.9997,10,-0.28696
"172","NC_054857.1_5623331_5623234","fungiGroup",189,0.0792723,-0.461,0.394331,30.865,10.7389,0.977,0.56917,0.0076,98,-2.10527
"173","NC_054857.1_5644012_5644609","fungiGroup",606,0.998961,-0.39,0.935787,247.101,465.2931,1.311,0.99402,0.997,40,-0.562361
"174","NC_054857.1_5655997_5656219","fungiGroup",255,0.164363,-1.345,0.82542,106.142,124.0327,1.178,0.95363,0.5469,39,-2.0047
"175","NC_054857.1_5692877_5692459","fungiGroup",501,0.96984,-0.013,0.996331,0,0.0257,1.319,0.99449,0.9994,13,-1.373
"176","NC_054857.1_575040_574572","fungiGroup",216,0.195587,-1.574,0.89944,186.351,193.7599,1.132,0.99946,0.9973,17,-1.20808
"177","NC_054857.1_5767930_5767653","fungiGroup",348,0.0567485,-0.972,0.217585,85.025,100.6447,1.332,0.74551,0.103,38,-1.56324
"178","NC_054857.1_5778968_5779220","fungiGroup",321,0.0119313,-1.196,0.125492,95.646,12.9803,1.231,0.76519,0.0012,28,-1.60888
"179","NC_054857.1_5786354_5786079","fungiGroup",426,0.065427,-0.889,0.59496,72.561,93.849,1.307,0.95974,0.9955,11,-1.90593
"180","NC_054857.1_5813448_5813307","fungiGroup",174,0.0575504,-0.53,0.0643084,51.242,103.8778,1.16,0.56993,0.0014,69,-2.07398
"181","NC_054857.1_5824477_5824642","fungiGroup",316,0.0817384,-1.028,0.267993,64.723,-22.0884,1.179,0.97843,0.9939,71,-1.89931
"182","NC_054857.1_5839253_5839163","fungiGroup",135,0.0160022,-0.616,0.025576,42.487,93.9814,1.205,0.39937,0.0012,24,-2.24193
"183","NC_054857.1_5854875_5855280","fungiGroup",477,0.948604,-0.94,0.94035,213.028,521.0431,1.302,0.99084,0.9995,50,-1.64653
"184","NC_054857.1_5867280_5867627","fungiGroup",255,0.125565,-1.486,0.971585,173.458,234.9913,1.198,0.9933,0.8376,58,-1.48621
"185","NC_054857.1_5867673_5868126","fungiGroup",474,0.955557,-0.606,0.978976,303.236,981.6065,1.261,0.99792,0.998,49,-1.81603
"186","NC_054857.1_592636_591848","fungiGroup",822,0.999969,0.431,0.983906,340.543,831.8778,1.292,0.99567,0.9997,30,-1.13575
"187","NC_054857.1_5955931_5956031","fungiGroup",216,0.223108,-0.902,0.496131,26.314,-3.6889,1.107,0.66797,0.002,69,-2.24492
