Name,Score,Start,End,Pval
NC_054858.1_48650_48864,0,0,0,1
NC_054859.1_4181284_4180764_Aspergillus_puulaauensis,88.266,97,609,1.051e-07
OffNeg_NC_054863.1_1309797_1309420_Aspergillus_puulaauensis,9.741,31,69,0.744
OffNeg_NC_054863.1_1594979_1594810_Aspergillus_puulaauensis,11.724,101,139,0.942
OffNeg_NC_054858.1_3927279_3926247_Aspergillus_puulaauensis,34.333,945,1094,0.003
OffPos_NC_054858.1_1471038_1470843_Aspergillus_puulaauensis,17.808,39,101,0.276
OffPos_NC_054864.1_1570557_1571017_Aspergillus_puulaauensis,19.000,252,332,0.317
OffPos_NC_054858.1_1917335_1917711,0,0,0,1
NC_054861.1_3281391_3282360_Aspergillus_puulaauensis,456.077,74,1057,0.000e+00
OffNeg_NC_054857.1_4822234_4823003_Aspergillus_puulaauensis,10.971,752,769,0.984
OffNeg_NC_054860.1_978104_977801_Aspergillus_puulaauensis,17.079,204,221,0.253
NC_054860.1_4132662_4133226_Aspergillus_puulaauensis,12.504,410,469,0.312
OffPos_NC_054858.1_3113494_3113773_Aspergillus_puulaauensis,17.179,56,139,0.460
NC_054858.1_1134220_1133938_Aspergillus_puulaauensis,103.122,76,372,0.000e+00
OffPos_NC_054863.1_2345695_2345548_Aspergillus_puulaauensis,19.539,122,298,0.013
NC_054863.1_1264024_1264111_Aspergillus_puulaauensis,36.658,73,168,2.018e-06
OffPos_NC_054861.1_3362770_3363359_Aspergillus_puulaauensis,15.191,594,713,0.051
OffPos_NC_054859.1_3433600_3433262_Aspergillus_puulaauensis,15.781,180,290,0.766
OffPos_NC_054864.1_2468672_2468386_Aspergillus_puulaauensis,13.365,294,341,0.675
OffNeg_NC_054858.1_4766976_4766785_Aspergillus_puulaauensis,10.776,95,130,0.366
NC_054861.1_50532_50360,0,0,0,1
OffNeg_NC_054859.1_3439280_3438489_Aspergillus_puulaauensis,11.209,353,394,0.564
NC_054862.1_504328_503950_Aspergillus_puulaauensis,160.889,40,456,0.000e+00
OffNeg_NC_054858.1_580034_581129_Aspergillus_puulaauensis,9.953,1110,1133,0.207
OffNeg_NC_054861.1_3626212_3626401_Aspergillus_puulaauensis,26.102,193,267,0.017
OffNeg_NC_054864.1_756808_756512,0,0,0,1
OffNeg_NC_054860.1_4257370_4257264,0,0,0,1
NC_054862.1_3142539_3142204_Aspergillus_puulaauensis,95.209,72,410,5.396e-14
OffPos_NC_054862.1_1584009_1583367_Aspergillus_puulaauensis,21.125,382,423,0.314
NC_054858.1_5229215_5229526_Aspergillus_puulaauensis,43.635,32,403,1.550e-05
NC_054863.1_289005_289166,0,0,0,1
OffNeg_NC_054862.1_1579912_1580481_Aspergillus_puulaauensis,19.123,280,429,0.470
NC_054861.1_4127009_4126500_Aspergillus_puulaauensis,197.523,94,585,0.000e+00
OffNeg_NC_054863.1_1369469_1369782_Aspergillus_puulaauensis,13.692,347,463,0.866
OffNeg_NC_054862.1_1749433_1749196_Aspergillus_puulaauensis,17.410,156,302,0.331
OffPos_NC_054858.1_4211186_4211400,0,0,0,1
OffPos_NC_054862.1_48778_49129_Aspergillus_puulaauensis,9.260,372,389,0.489
OffPos_NC_054858.1_34128_33648_Aspergillus_puulaauensis,9.218,235,291,0.837
OffPos_NC_054860.1_1592990_1593085,0,0,0,1
NC_054863.1_2984359_2984794_Aspergillus_puulaauensis,161.225,71,514,0.000e+00
OffNeg_NC_054859.1_2623136_2622802_Aspergillus_puulaauensis,31.412,353,478,0.002
NC_054861.1_1428864_1429165_Aspergillus_puulaauensis,119.390,68,379,0.000e+00
OffNeg_NC_054859.1_728003_728219_Aspergillus_puulaauensis,17.379,42,77,0.706
OffPos_NC_054861.1_20337_20227,0,0,0,1
NC_054858.1_3972010_3971204_Aspergillus_puulaauensis,450.063,71,880,0.000e+00
NC_054863.1_3167621_3167445_Aspergillus_puulaauensis,58.088,76,267,7.135e-06
OffNeg_NC_054858.1_124772_124433_Aspergillus_puulaauensis,15.659,50,97,0.447
OffPos_NC_054858.1_4069270_4069567_Aspergillus_puulaauensis,9.488,259,303,0.716
OffPos_NC_054864.1_707245_707360_Aspergillus_puulaauensis,16.149,187,231,0.420
OffNeg_NC_054863.1_872935_872479_Aspergillus_puulaauensis,9.064,493,540,0.117
OffNeg_NC_054858.1_3344057_3343296_Aspergillus_puulaauensis,16.643,222,302,0.506
OffNeg_NC_054860.1_1955892_1955801_Aspergillus_puulaauensis,6.851,13,39,0.985
OffPos_NC_054862.1_2478385_2477343_Aspergillus_puulaauensis,7.543,849,890,0.034
OffNeg_NC_054858.1_3344431_3344133_Aspergillus_puulaauensis,14.223,116,175,0.404
OffNeg_NC_054857.1_4236709_4237256_Aspergillus_puulaauensis,17.073,231,275,0.312
OffPos_NC_054858.1_3889953_3890889_Aspergillus_puulaauensis,12.081,150,242,0.996
OffNeg_NC_054864.1_2730682_2730882_Aspergillus_puulaauensis,10.914,162,233,0.918
OffPos_NC_054857.1_4378005_4378125_Aspergillus_puulaauensis,14.045,3,71,0.815
NC_054857.1_3686796_3686877_Aspergillus_puulaauensis,11.613,68,166,0.395
OffNeg_NC_054862.1_484168_484012_Aspergillus_puulaauensis,15.199,188,217,0.659
NC_054862.1_3526968_3526640_Aspergillus_puulaauensis,79.963,79,399,3.850e-11
OffNeg_NC_054860.1_2087317_2087625_Aspergillus_puulaauensis,10.637,121,162,0.797
OffNeg_NC_054860.1_4358332_4358444,0,0,0,1
OffNeg_NC_054859.1_2473125_2473209_Aspergillus_puulaauensis,9.350,133,174,0.724
NC_054862.1_3417389_3417249_Aspergillus_puulaauensis,45.883,72,218,5.757e-04
OffPos_NC_054863.1_885199_885115_Aspergillus_puulaauensis,18.488,87,218,0.200
OffPos_NC_054862.1_3004736_3004455_Aspergillus_puulaauensis,13.483,70,144,0.214
OffPos_NC_054863.1_225657_226156_Aspergillus_puulaauensis,20.966,521,568,0.447
OffPos_NC_054864.1_646891_647047_Aspergillus_puulaauensis,20.404,162,194,0.322
OffPos_NC_054863.1_1968514_1968798_Aspergillus_puulaauensis,18.355,76,159,0.384
OffNeg_NC_054864.1_551308_551466_Aspergillus_puulaauensis,13.126,109,153,0.412
OffPos_NC_054857.1_3890261_3889942_Aspergillus_puulaauensis,21.198,152,295,0.373
OffPos_NC_054861.1_3739842_3739485,0,0,0,1
OffNeg_NC_054864.1_1386947_1387203_Aspergillus_puulaauensis,14.578,294,314,0.398
OffPos_NC_054859.1_3176071_3175722_Aspergillus_puulaauensis,11.305,112,141,0.217
OffPos_NC_054864.1_1412431_1412311_Aspergillus_puulaauensis,8.967,186,203,0.761
NC_054860.1_2701083_2702091_Aspergillus_puulaauensis,404.283,86,1063,0.000e+00
OffNeg_NC_054859.1_1218736_1219027_Aspergillus_puulaauensis,19.953,113,163,0.173
OffNeg_NC_054860.1_3735168_3734875,0,0,0,1
OffPos_NC_054859.1_256919_257018_Aspergillus_puulaauensis,30.393,12,149,0.022
OffPos_NC_054861.1_934388_934508_Aspergillus_puulaauensis,15.241,174,269,0.312
NC_054857.1_2811608_2811495_Aspergillus_puulaauensis,55.172,75,185,2.400e-09
OffNeg_NC_054859.1_3594593_3594082_Aspergillus_puulaauensis,11.160,252,290,0.999
OffPos_NC_054859.1_536937_537526,0,0,0,1
OffPos_NC_054864.1_810791_810583_Aspergillus_puulaauensis,7.885,273,344,0.936
OffPos_NC_054857.1_265610_265754,0,0,0,1
OffPos_NC_054861.1_1969386_1969290,0,0,0,1
OffPos_NC_054857.1_105292_105486_Aspergillus_puulaauensis,9.788,4,72,0.981
NC_054864.1_164196_163667,0,0,0,1
OffNeg_NC_054862.1_2660075_2660306_Aspergillus_puulaauensis,12.513,90,212,0.537
OffPos_NC_054860.1_4275008_4275127_Aspergillus_puulaauensis,73.708,115,270,1.275e-10
OffPos_NC_054860.1_4194839_4194506_Aspergillus_puulaauensis,9.404,147,176,0.837
OffPos_NC_054863.1_223184_222427_Aspergillus_puulaauensis,21.227,663,710,0.388
NC_054862.1_2343638_2343383_Aspergillus_puulaauensis,106.821,76,333,1.136e-11
OffNeg_NC_054863.1_552726_552555_Aspergillus_puulaauensis,9.319,25,51,0.420
OffNeg_NC_054860.1_3378818_3379178_Aspergillus_puulaauensis,21.396,358,426,0.166
NC_054858.1_1068279_1067820_Aspergillus_puulaauensis,141.726,61,537,0.000e+00
NC_054858.1_1267151_1267399_Aspergillus_puulaauensis,120.641,74,328,1.110e-16
OffPos_NC_054862.1_2685929_2686236_Aspergillus_puulaauensis,10.411,292,354,0.675
OffPos_NC_054863.1_1039890_1038818_Aspergillus_puulaauensis,10.464,501,527,0.647
NC_054859.1_2922979_2922867_Aspergillus_puulaauensis,47.299,68,193,1.956e-09
NC_054861.1_1110758_1111015_Aspergillus_puulaauensis,86.593,11,337,3.939e-07
NC_054859.1_4297376_4297482_Aspergillus_puulaauensis,34.255,53,169,0.006
NC_054860.1_2177184_2176969_Aspergillus_puulaauensis,80.393,62,292,5.593e-10
NC_054858.1_1533667_1533967_Aspergillus_puulaauensis,165.382,68,391,0.000e+00
NC_054857.1_2465745_2465859_Aspergillus_puulaauensis,29.506,35,193,0.045
OffPos_NC_054862.1_1057924_1058371_Aspergillus_puulaauensis,8.635,539,562,0.977
NC_054862.1_154047_153754_Aspergillus_puulaauensis,109.431,76,369,9.667e-13
NC_054861.1_3179381_3178808_Aspergillus_puulaauensis,247.723,103,645,0.000e+00
NC_054858.1_788843_789217_Aspergillus_puulaauensis,18.145,320,430,0.164
OffNeg_NC_054862.1_129686_129441,0,0,0,1
OffPos_NC_054861.1_1006494_1006371_Aspergillus_puulaauensis,15.899,115,135,0.456
NC_054861.1_2760059_2760264_Aspergillus_puulaauensis,11.788,2,199,0.542
OffNeg_NC_054859.1_1939716_1939832,0,0,0,1
OffNeg_NC_054858.1_4091818_4091986_Aspergillus_puulaauensis,17.311,8,85,0.304
OffPos_NC_054857.1_836923_837435_Aspergillus_puulaauensis,10.138,244,273,0.678
OffNeg_NC_054857.1_3633614_3633708,0,0,0,1
OffNeg_NC_054863.1_1958882_1959002_Aspergillus_puulaauensis,22.242,12,173,0.007
NC_054862.1_2888164_2887646,0,0,0,1
OffPos_NC_054857.1_2918407_2917708_Aspergillus_puulaauensis,23.836,160,213,0.010
OffPos_NC_054860.1_657253_656889_Aspergillus_puulaauensis,9.115,371,391,0.507
OffNeg_NC_054860.1_3688950_3689487_Aspergillus_puulaauensis,18.651,478,615,0.325
NC_054863.1_2567235_2567481_Aspergillus_puulaauensis,11.849,125,316,0.584
OffPos_NC_054858.1_3918139_3917093_Aspergillus_puulaauensis,17.044,1100,1165,0.840
OffNeg_NC_054857.1_3048801_3049872_Aspergillus_puulaauensis,283.008,8,943,0.000e+00
OffPos_NC_054857.1_4449291_4449501_Aspergillus_puulaauensis,18.103,44,130,0.030
OffPos_NC_054857.1_4814665_4814539,0,0,0,1
OffNeg_NC_054859.1_4257679_4257812,0,0,0,1
OffPos_NC_054858.1_3429858_3429511,0,0,0,1
NC_054862.1_1268386_1268495_Aspergillus_puulaauensis,39.448,77,211,3.836e-07
NC_054857.1_3048801_3049872_Aspergillus_puulaauensis,253.778,86,1141,0.000e+00
OffPos_NC_054862.1_1866474_1865649_Aspergillus_puulaauensis,10.888,56,79,0.414
OffPos_NC_054861.1_2935546_2935824_Aspergillus_puulaauensis,20.331,33,113,0.341
NC_054859.1_4257679_4257812_Aspergillus_puulaauensis,55.730,69,215,7.929e-08
OffPos_NC_054859.1_1281101_1281619_Aspergillus_puulaauensis,19.262,452,643,0.212
OffPos_NC_054860.1_2570380_2569777_Aspergillus_puulaauensis,95.725,509,748,3.331e-16
OffNeg_NC_054862.1_1268386_1268495_Aspergillus_puulaauensis,9.506,219,257,0.319
NC_054859.1_456542_456859_Aspergillus_puulaauensis,153.058,2,391,0.000e+00
NC_054862.1_770959_770836,0,0,0,1
NC_054857.1_3633614_3633708,0,0,0,1
OffNeg_NC_054862.1_2888164_2887646_Aspergillus_puulaauensis,10.782,194,223,0.047
NC_054863.1_1958882_1959002_Aspergillus_puulaauensis,61.885,77,193,2.187e-14
NC_054860.1_3688950_3689487_Aspergillus_puulaauensis,247.029,73,624,0.000e+00
OffNeg_NC_054863.1_2567235_2567481_Aspergillus_puulaauensis,17.047,344,394,0.338
OffPos_NC_054857.1_575040_574572_Aspergillus_puulaauensis,23.782,548,616,0.193
OffPos_NC_054862.1_969502_969321,0,0,0,1
NC_054859.1_1939716_1939832_Aspergillus_puulaauensis,13.631,71,199,0.100
OffPos_NC_054862.1_2614101_2614269_Aspergillus_puulaauensis,9.919,9,47,0.976
OffPos_NC_054862.1_742312_742393,0,0,0,1
OffPos_NC_054858.1_206192_206338_Aspergillus_puulaauensis,10.047,118,165,0.408
NC_054858.1_4091818_4091986_Aspergillus_puulaauensis,82.685,53,256,4.885e-15
NC_054863.1_693593_694201_Aspergillus_puulaauensis,278.994,76,693,0.000e+00
OffPos_NC_054863.1_1598208_1598341,0,0,0,1
OffNeg_NC_054857.1_2465745_2465859,0,0,0,1
OffNeg_NC_054861.1_3179381_3178808_Aspergillus_puulaauensis,16.497,670,693,0.441
NC_054860.1_914265_914480_Aspergillus_puulaauensis,50.178,97,252,2.403e-05
OffPos_NC_054858.1_4282106_4281908_Aspergillus_puulaauensis,9.629,91,117,0.980
OffNeg_NC_054861.1_2760059_2760264_Aspergillus_puulaauensis,10.676,94,117,0.863
OffPos_NC_054859.1_4295878_4295961,0,0,0,1
OffPos_NC_054863.1_87582_88659_Aspergillus_puulaauensis,15.140,441,458,0.825
OffPos_NC_054857.1_1825725_1825823_Aspergillus_puulaauensis,8.995,125,133,0.876
OffPos_NC_054863.1_1214327_1214030_Aspergillus_puulaauensis,7.836,205,297,0.967
OffPos_NC_054862.1_1319713_1319823_Aspergillus_puulaauensis,26.137,46,189,0.045
OffNeg_NC_054859.1_2922979_2922867_Aspergillus_puulaauensis,11.228,87,167,0.722
OffNeg_NC_054860.1_2177184_2176969_Aspergillus_puulaauensis,11.499,132,164,0.212
OffNeg_NC_054859.1_4297376_4297482,0,0,0,1
OffNeg_NC_054861.1_1110758_1111015_Aspergillus_puulaauensis,15.698,128,223,0.114
OffPos_NC_054859.1_2622733_2622394_Aspergillus_puulaauensis,13.977,165,284,0.421
OffNeg_NC_054858.1_1533667_1533967_Aspergillus_puulaauensis,16.622,346,405,0.501
OffNeg_NC_054862.1_2343638_2343383_Aspergillus_puulaauensis,13.934,7,66,0.196
NC_054860.1_3378818_3379178_Aspergillus_puulaauensis,67.131,44,451,1.515e-05
OffNeg_NC_054858.1_1068279_1067820_Aspergillus_puulaauensis,9.955,152,232,0.775
OffNeg_NC_054858.1_1267151_1267399_Aspergillus_puulaauensis,22.156,277,357,0.031
OffNeg_NC_054857.1_2811608_2811495,0,0,0,1
OffPos_NC_054864.1_1587538_1587321_Aspergillus_puulaauensis,19.223,58,363,0.358
OffPos_NC_054861.1_212404_211746_Aspergillus_puulaauensis,19.603,16,183,0.388
NC_054859.1_3594593_3594082_Aspergillus_puulaauensis,157.056,71,484,0.000e+00
OffPos_NC_054862.1_538316_538202,0,0,0,1
NC_054862.1_2660075_2660306_Aspergillus_puulaauensis,42.915,104,310,3.807e-04
OffPos_NC_054863.1_1577012_1577804_Aspergillus_puulaauensis,17.878,844,942,0.710
OffPos_NC_054863.1_2891682_2891884,0,0,0,1
OffNeg_NC_054860.1_2701083_2702091_Aspergillus_puulaauensis,56.002,191,571,4.661e-05
NC_054859.1_1218736_1219027_Aspergillus_puulaauensis,106.179,65,376,0.000e+00
OffPos_NC_054858.1_1544587_1544463_Aspergillus_puulaauensis,10.766,76,132,0.336
NC_054860.1_3735168_3734875,0,0,0,1
OffPos_NC_054858.1_4097678_4097565_Aspergillus_puulaauensis,11.078,200,262,0.973
OffPos_NC_054861.1_1269593_1269925_Aspergillus_puulaauensis,12.339,127,183,0.408
OffPos_NC_054862.1_3380391_3380689_Aspergillus_puulaauensis,23.805,366,428,0.057
OffNeg_NC_054864.1_419849_419693_Aspergillus_puulaauensis,12.238,115,147,0.879
OffNeg_NC_054864.1_459435_459631,0,0,0,1
NC_054864.1_1386947_1387203_Aspergillus_puulaauensis,93.977,5,331,0.000e+00
NC_054864.1_142606_143443_Aspergillus_puulaauensis,381.303,89,919,0.000e+00
OffPos_NC_054861.1_2007630_2006732_Aspergillus_puulaauensis,21.578,574,681,0.410
OffPos_NC_054860.1_4254422_4255091,0,0,0,1
NC_054862.1_701387_701232_Aspergillus_puulaauensis,10.492,59,103,0.725
OffPos_NC_054860.1_2267927_2267723,0,0,0,1
NC_054858.1_659946_659560_Aspergillus_puulaauensis,108.492,75,422,4.526e-12
OffNeg_NC_054857.1_3686796_3686877_Aspergillus_puulaauensis,11.188,87,170,0.755
OffPos_NC_054857.1_1710857_1710986_Aspergillus_puulaauensis,18.339,1,243,0.209
NC_054860.1_2087317_2087625_Aspergillus_puulaauensis,57.712,72,401,4.021e-05
OffNeg_NC_054862.1_3526968_3526640_Aspergillus_puulaauensis,14.343,294,314,0.561
NC_054860.1_4358332_4358444,0,0,0,1
OffNeg_NC_054862.1_3417389_3417249_Aspergillus_puulaauensis,17.325,50,76,0.328
NC_054859.1_2473125_2473209_Aspergillus_puulaauensis,21.752,68,157,0.007
OffPos_NC_054862.1_105806_105679,0,0,0,1
OffPos_NC_054864.1_2126272_2125696_Aspergillus_puulaauensis,54.641,12,227,7.177e-06
NC_054858.1_3344057_3343296_Aspergillus_puulaauensis,374.654,75,824,0.000e+00
NC_054858.1_3344431_3344133_Aspergillus_puulaauensis,46.833,184,375,4.357e-06
OffPos_NC_054857.1_1857023_1857550_Aspergillus_puulaauensis,13.756,486,521,0.917
NC_054860.1_1955892_1955801_Aspergillus_puulaauensis,14.220,67,168,0.073
OffNeg_NC_054863.1_347585_347818,0,0,0,1
NC_054857.1_4236709_4237256_Aspergillus_puulaauensis,104.565,179,640,1.346e-12
OffNeg_NC_054861.1_965152_964080_Aspergillus_puulaauensis,17.762,1151,1222,0.023
OffPos_NC_054862.1_3524945_3524786,0,0,0,1
NC_054864.1_2730682_2730882_Aspergillus_puulaauensis,70.822,29,277,1.258e-05
OffNeg_NC_054863.1_684780_685586_Aspergillus_puulaauensis,19.905,7,69,0.547
NC_054859.1_2623136_2622802_Aspergillus_puulaauensis,85.867,77,412,1.393e-09
OffNeg_NC_054863.1_2984359_2984794_Aspergillus_puulaauensis,11.980,289,351,0.785
OffNeg_NC_054861.1_1428864_1429165_Aspergillus_puulaauensis,16.424,124,327,0.836
OffNeg_NC_054863.1_3167621_3167445_Aspergillus_puulaauensis,8.882,155,226,0.308
OffNeg_NC_054858.1_3972010_3971204_Aspergillus_puulaauensis,7.516,12,47,0.847
NC_054863.1_1369469_1369782_Aspergillus_puulaauensis,76.829,78,386,1.442e-12
NC_054860.1_434085_434587_Aspergillus_puulaauensis,205.601,69,596,0.000e+00
NC_054862.1_1749433_1749196_Aspergillus_puulaauensis,51.798,62,331,2.787e-04
NC_054862.1_713143_712966_Aspergillus_puulaauensis,35.795,71,190,1.048e-04
OffPos_NC_054861.1_3924720_3924513_Aspergillus_puulaauensis,9.310,51,80,0.554
OffPos_NC_054864.1_1147932_1147710,0,0,0,1
OffNeg_NC_054862.1_3142539_3142204,0,0,0,1
OffPos_NC_054860.1_78405_78034_Aspergillus_puulaauensis,7.530,34,57,0.815
OffNeg_NC_054862.1_896801_896673_Aspergillus_puulaauensis,12.440,182,214,0.752
OffNeg_NC_054858.1_5229215_5229526_Aspergillus_puulaauensis,8.250,110,148,0.964
OffPos_NC_054857.1_5839253_5839163_Aspergillus_puulaauensis,28.346,1,234,4.716e-04
NC_054862.1_1579912_1580481_Aspergillus_puulaauensis,85.616,76,435,0.000e+00
OffNeg_NC_054861.1_4127009_4126500_Aspergillus_puulaauensis,31.894,317,508,0.022
NC_054859.1_3439280_3438489_Aspergillus_puulaauensis,365.602,72,848,0.000e+00
OffPos_NC_054857.1_5623331_5623234_Aspergillus_puulaauensis,19.352,163,240,0.056
NC_054858.1_4766976_4766785_Aspergillus_puulaauensis,68.840,75,233,1.777e-08
NC_054860.1_257464_257211_Aspergillus_puulaauensis,130.084,66,338,0.000e+00
NC_054861.1_3626212_3626401_Aspergillus_puulaauensis,44.660,140,295,9.477e-05
OffPos_NC_054857.1_4572606_4573371_Aspergillus_puulaauensis,33.887,815,913,0.015
NC_054860.1_4257370_4257264_Aspergillus_puulaauensis,30.921,71,193,0.005
OffPos_NC_054858.1_3691888_3692402_Aspergillus_puulaauensis,14.987,373,453,0.755
NC_054861.1_569514_569646_Aspergillus_puulaauensis,32.672,71,223,1.696e-04
OffNeg_NC_054860.1_4132662_4133226_Aspergillus_puulaauensis,12.112,524,538,0.975
OffPos_NC_054858.1_4780044_4779761,0,0,0,1
